Time (s),CH1 Voltage (V),CH2 Voltage (V),CH3 Voltage (V),CH4 Voltage (V)
-0.18149600000000002,0.0,0.082,0.082,0.082
-0.18149200000000001,0.0,0.078,0.078,0.078
-0.181488,-0.4,0.078,0.078,0.078
-0.181484,-0.4,0.062,0.062,0.062
-0.18148,0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.18147600000000003,-0.2,0.082,0.082,0.082
-0.18147200000000002,-0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.18146800000000002,0.2,0.078,0.078,0.078
-0.18146400000000001,-0.2,0.078,0.078,0.078
-0.18146,-0.4,0.074,0.074,0.074
-0.181456,0.2,0.074,0.074,0.074
-0.181452,-0.4,0.078,0.078,0.078
-0.181448,0.0,0.078,0.078,0.078
-0.18144400000000002,-0.4,0.082,0.082,0.082
-0.18144000000000002,-0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.18143600000000001,-0.4,0.074,0.074,0.074
-0.181432,-0.4,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.181428,0.0,0.082,0.082,0.082
-0.181424,-0.4,0.078,0.078,0.078
-0.18142000000000003,0.0,0.078,0.078,0.078
-0.18141600000000002,-0.4,0.074,0.074,0.074
-0.18141200000000002,-0.4,0.082,0.082,0.082
-0.181408,0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.181404,0.0,0.074,0.074,0.074
-0.1814,-0.2,0.078,0.078,0.078
-0.181396,-0.4,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.181392,0.2,0.09,0.09,0.09
-0.18138800000000002,-0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.18138400000000002,-0.4,0.082,0.082,0.082
-0.18138,-0.4,0.074,0.074,0.074
-0.181376,0.4,0.082,0.082,0.082
-0.181372,-0.6000000000000001,0.082,0.082,0.082
-0.181368,-0.2,0.078,0.078,0.078
-0.18136400000000003,-0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.18136000000000002,-0.2,0.074,0.074,0.074
-0.18135600000000002,0.0,0.082,0.082,0.082
-0.181352,-0.4,0.082,0.082,0.082
-0.181348,-0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.181344,-0.2,0.09,0.09,0.09
-0.18134,-0.8,0.078,0.078,0.078
-0.181336,0.0,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.18133200000000002,-0.2,0.074,0.074,0.074
-0.18132800000000002,-0.2,0.082,0.082,0.082
-0.181324,0.4,0.078,0.078,0.078
-0.18132,-0.2,0.074,0.074,0.074
-0.181316,0.2,0.074,0.074,0.074
-0.181312,0.0,0.082,0.082,0.082
-0.18130800000000002,-0.4,0.078,0.078,0.078
-0.18130400000000002,0.0,0.082,0.082,0.082
-0.18130000000000002,-0.2,0.078,0.078,0.078
-0.181296,0.0,0.074,0.074,0.074
-0.181292,-0.2,0.078,0.078,0.078
-0.181288,0.0,0.074,0.074,0.074
-0.181284,-0.4,0.078,0.078,0.078
-0.18128,-0.2,0.078,0.078,0.078
-0.18127600000000002,0.0,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.18127200000000002,0.6000000000000001,0.074,0.074,0.074
-0.181268,-0.2,0.074,0.074,0.074
-0.181264,0.0,0.078,0.078,0.078
-0.18126,-0.2,0.082,0.082,0.082
-0.181256,0.0,0.082,0.082,0.082
-0.18125200000000002,-0.4,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.18124800000000002,0.0,0.074,0.074,0.074
-0.18124400000000002,0.0,0.082,0.082,0.082
-0.18124,0.4,0.082,0.082,0.082
-0.181236,-0.2,0.074,0.074,0.074
-0.181232,-0.4,0.078,0.078,0.078
-0.181228,-0.2,0.082,0.082,0.082
-0.18122400000000002,0.4,0.09,0.09,0.09
-0.18122000000000002,-0.2,0.074,0.074,0.074
-0.18121600000000002,-0.2,0.078,0.078,0.078
-0.181212,-0.2,0.078,0.078,0.078
-0.181208,0.0,0.078,0.078,0.078
-0.181204,-0.6000000000000001,0.078,0.078,0.078
-0.1812,-0.4,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.18119600000000002,-0.4,0.094,0.094,0.094
-0.18119200000000002,0.0,0.094,0.094,0.094
-0.18118800000000002,-0.2,0.082,0.082,0.082
-0.181184,0.0,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.18118,-0.2,0.082,0.082,0.082
-0.181176,0.0,0.082,0.082,0.082
-0.181172,-0.2,0.074,0.074,0.074
-0.18116800000000002,-0.4,0.074,0.074,0.074
-0.18116400000000002,-0.2,0.09,0.09,0.09
-0.18116000000000002,-0.2,0.082,0.082,0.082
-0.181156,-0.4,0.078,0.078,0.078
-0.181152,0.4,0.082,0.082,0.082
-0.181148,0.0,0.078,0.078,0.078
-0.18114400000000003,0.2,0.082,0.082,0.082
-0.18114000000000002,0.2,0.074,0.074,0.074
-0.18113600000000002,-0.4,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.18113200000000002,-0.2,0.078,0.078,0.078
-0.181128,-0.4,0.082,0.082,0.082
-0.181124,-0.4,0.09,0.09,0.09
-0.18112,0.0,0.082,0.082,0.082
-0.181116,-0.2,0.082,0.082,0.082
-0.18111200000000002,-0.2,0.078,0.078,0.078
-0.18110800000000002,-0.4,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.18110400000000001,-0.2,0.082,0.082,0.082
-0.1811,0.0,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.181096,-0.4,0.078,0.078,0.078
-0.181092,-0.4,0.078,0.078,0.078
-0.18108800000000003,-0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.18108400000000002,0.0,0.078,0.078,0.078
-0.18108000000000002,0.4,0.09,0.09,0.09
-0.18107600000000001,-0.2,0.09,0.09,0.09
-0.181072,-0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.181068,0.0,0.082,0.082,0.082
-0.181064,-0.2,0.078,0.078,0.078
-0.18106,-0.2,0.074,0.074,0.074
-0.18105600000000002,-0.2,0.082,0.082,0.082
-0.18105200000000002,-0.4,0.082,0.082,0.082
-0.18104800000000001,-0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.181044,-0.2,0.078,0.078,0.078
-0.18104,-0.2,0.082,0.082,0.082
-0.181036,0.0,0.078,0.078,0.078
-0.18103200000000003,0.0,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.18102800000000002,-0.4,0.074,0.074,0.074
-0.18102400000000002,0.4,0.09,0.09,0.09
-0.18102000000000001,-0.6000000000000001,0.09,0.09,0.09
-0.181016,-0.4,0.078,0.078,0.078
-0.181012,0.0,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.181008,0.2,0.082,0.082,0.082
-0.181004,-0.6000000000000001,0.078,0.078,0.078
-0.18100000000000002,0.0,0.082,0.082,0.082
-0.18099600000000002,-0.4,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.18099200000000001,-0.2,0.074,0.074,0.074
-0.180988,-0.4,0.08600000000000001,0.08600000000000001,0.08600000000000001
