Time (s),Voltage (V)
0.02292000000000001,0.04
0.022960000000000008,0.06
0.023000000000000007,0.04
0.023040000000000005,0.04
0.023080000000000003,0.06
0.02312,0.04
0.02316,0.04
0.0232,0.04
0.023239999999999997,0.02
0.02328000000000001,0.04
0.023320000000000007,0.04
0.023360000000000006,0.04
0.023400000000000004,0.02
0.023440000000000003,0.06
0.02348,0.04
0.02352,0.04
0.023559999999999998,0.06
0.02360000000000001,0.06
0.023640000000000008,0.04
0.023680000000000007,0.04
0.023720000000000005,0.04
0.023760000000000003,0.04
0.0238,0.06
0.02384,0.04
0.02388,0.04
0.023919999999999997,0.04
0.02396000000000001,0.04
0.024000000000000007,0.04
0.024040000000000006,0.04
0.024080000000000004,0.04
0.024120000000000003,0.04
0.02416,0.06
0.0242,0.04
0.024239999999999998,0.04
0.02428000000000001,0.04
0.02432000000000001,0.04
0.024360000000000007,0.04
0.024400000000000005,0.04
0.024440000000000003,0.04
0.024480000000000002,0.06
0.02452,0.04
0.02456,0.06
0.024599999999999997,0.04
0.02464000000000001,0.04
0.024680000000000007,0.04
0.024720000000000006,0.04
0.024760000000000004,0.04
0.024800000000000003,0.04
0.02484,0.06
0.02488,0.04
0.024919999999999998,0.02
0.02496000000000001,0.04
0.02500000000000001,0.04
0.025040000000000007,0.04
0.025080000000000005,0.04
0.025120000000000003,0.04
0.025160000000000002,0.04
0.0252,0.04
0.02524,0.04
0.025279999999999997,0.04
0.02532000000000001,0.04
0.025360000000000008,0.04
0.025400000000000006,0.04
0.025440000000000004,0.02
0.025480000000000003,0.04
0.02552,0.04
0.02556,0.04
0.025599999999999998,0.04
0.02564000000000001,0.04
0.02568000000000001,0.04
0.025720000000000007,0.02
0.025760000000000005,0.04
0.025800000000000003,0.06
0.025840000000000002,0.04
0.02588,0.04
0.02592,0.04
0.025959999999999997,0.04
0.02600000000000001,0.04
0.026040000000000008,0.04
0.026080000000000006,0.04
0.026120000000000004,0.06
0.026160000000000003,0.06
0.0262,0.04
0.02624,0.04
0.026279999999999998,0.06
0.02632000000000001,0.04
0.02636000000000001,0.04
0.026400000000000007,0.04
0.026440000000000005,0.04
0.026480000000000004,0.04
0.026520000000000002,0.04
0.02656,0.04
0.0266,0.04
0.026639999999999997,0.04
0.02668000000000001,0.04
0.026720000000000008,0.04
0.026760000000000006,0.04
0.026800000000000004,0.04
0.026840000000000003,0.04
0.02688,0.04
0.02692,0.04
0.026959999999999998,0.04
0.02700000000000001,0.04
0.02704000000000001,0.04
0.027080000000000007,0.04
0.027120000000000005,0.04
0.027160000000000004,0.04
0.027200000000000002,0.04
0.02724,0.02
0.02728,0.02
0.027319999999999997,0.04
0.02736000000000001,0.04
0.027400000000000008,0.04
0.027440000000000006,0.06
0.027480000000000004,0.04
0.027520000000000003,0.04
0.02756,0.04
0.0276,0.04
0.027639999999999998,0.04
0.02768000000000001,0.04
0.02772000000000001,0.04
0.027760000000000007,0.04
0.027800000000000005,0.04
0.027840000000000004,0.04
0.027880000000000002,0.04
0.02792,0.02
0.02796,0.04
0.027999999999999997,0.04
0.02804000000000001,0.04
0.028080000000000008,0.04
0.028120000000000006,0.04
0.028160000000000004,0.04
0.028200000000000003,0.04
0.02824,0.04
0.02828,0.04
0.028319999999999998,0.04
